sale_date,domain,quantity
2022-01-04,Groceries,75
2022-01-04,Toys,11
2022-01-04,Clothing,144
2022-01-04,Electronics,200
2022-01-04,Toys,256
2022-01-04,Groceries,118
2022-01-04,Toys,244
2022-01-04,Electronics,172
2022-01-05,Electronics,42
2022-01-05,Groceries,8
2022-01-05,Toys,158
2022-01-05,Furniture,192
2022-01-05,Electronics,1
2022-01-05,Toys,97
2022-01-05,Toys,220
2022-01-05,Groceries,147
2022-01-05,Electronics,29
2022-01-05,Furniture,5
2022-01-05,Electronics,35
2022-01-05,Groceries,44
2022-01-05,Electronics,78
2022-01-05,Toys,161
2022-01-05,Toys,172
2022-01-05,Groceries,132
2022-01-05,Electronics,46
2022-01-05,Groceries,17
2022-01-05,Electronics,38
2022-01-05,Toys,11
2022-01-05,Furniture,161
2022-01-05,Electronics,101
2022-01-05,Furniture,93
2022-01-05,Electronics,263
2022-01-05,Groceries,142
2022-01-05,Clothing,209
2022-01-05,Clothing,95
2022-01-05,Groceries,56
2022-01-05,Toys,200
2022-01-05,Groceries,262
2022-01-05,Groceries,24
2022-01-05,Toys,129
2022-01-05,Toys,100
2022-01-05,Clothing,148
2022-01-05,Groceries,20
2022-01-05,Furniture,105
2022-01-05,Toys,57
2022-01-05,Clothing,24
2022-01-05,Groceries,294
2022-01-05,Electronics,55
2022-01-05,Electronics,24
2022-01-05,Electronics,53
2022-01-05,Groceries,189
2022-01-05,Furniture,146
2022-01-05,Furniture,186
2022-01-05,Toys,77
2022-01-05,Furniture,225
2022-01-05,Furniture,32
2022-01-05,Clothing,66
2022-01-05,Furniture,257
2022-01-05,Groceries,36
2022-01-05,Electronics,158
2022-01-05,Furniture,234
2022-01-05,Furniture,42
2022-01-05,Furniture,25
2022-01-05,Toys,30
2022-01-05,Toys,28
2022-01-05,Groceries,38
2022-01-05,Toys,149
2022-01-05,Groceries,192
2022-01-05,Electronics,83
2022-01-05,Toys,132
2022-01-05,Toys,173
2022-01-05,Toys,325
2022-01-05,Toys,223
2022-01-05,Groceries,17
2022-01-05,Groceries,53
2022-01-05,Electronics,95
2022-01-05,Clothing,332
2022-01-05,Electronics,246
2022-01-05,Furniture,256
2022-01-05,Electronics,69
2022-01-05,Clothing,16
2022-01-05,Toys,225
2022-01-05,Furniture,97
2022-01-05,Toys,198
2022-01-05,Clothing,130
2022-01-05,Groceries,216
2022-01-05,Toys,131
2022-01-05,Toys,74
2022-01-05,Toys,59
2022-01-05,Electronics,150
2022-01-05,Groceries,135
2022-01-05,Toys,79
2022-01-05,Groceries,62
2022-01-05,Toys,74
2022-01-05,Furniture,342
2022-01-05,Electronics,324
2022-01-05,Electronics,55
2022-01-05,Clothing,224
2022-01-05,Electronics,48
2022-01-05,Electronics,255
2022-01-05,Clothing,143
2022-01-05,Toys,90
2022-01-05,Groceries,15
2022-01-05,Toys,75
2022-01-05,Toys,264
2022-01-05,Toys,322
2022-01-05,Electronics,64
2022-01-05,Electronics,343
2022-01-06,Furniture,195
2022-01-06,Furniture,230
2022-01-06,Toys,58
2022-01-06,Furniture,305
2022-01-06,Groceries,120
2022-01-06,Toys,2
2022-01-06,Electronics,37
2022-01-06,Electronics,35
2022-01-06,Clothing,171
2022-01-06,Clothing,97
2022-01-06,Clothing,429
2022-01-06,Clothing,65
2022-01-06,Furniture,181
2022-01-06,Furniture,100
2022-01-06,Furniture,1
2022-01-06,Electronics,26
2022-01-06,Electronics,176
2022-01-06,Furniture,15
2022-01-06,Clothing,2
2022-01-06,Furniture,81
2022-01-06,Toys,177
2022-01-06,Groceries,1
2022-01-06,Clothing,18
2022-01-06,Toys,23
2022-01-06,Clothing,76
2022-01-06,Toys,136
2022-01-06,Furniture,59
2022-01-06,Furniture,255
2022-01-06,Groceries,244
2022-01-06,Toys,173
2022-01-06,Toys,330
2022-01-06,Clothing,95
2022-01-06,Groceries,144
2022-01-06,Groceries,350
2022-01-06,Groceries,240
2022-01-06,Furniture,231
2022-01-06,Furniture,210
2022-01-06,Groceries,57
2022-01-06,Clothing,57
2022-01-06,Electronics,283
2022-01-06,Clothing,203
2022-01-06,Furniture,170
2022-01-06,Furniture,180
2022-01-06,Toys,211
2022-01-06,Toys,243
2022-01-06,Clothing,7
2022-01-06,Furniture,9
2022-01-06,Electronics,30
2022-01-06,Electronics,11
2022-01-06,Groceries,62
2022-01-06,Clothing,144
2022-01-06,Furniture,134
2022-01-06,Groceries,50
2022-01-06,Toys,61
2022-01-06,Furniture,80
2022-01-06,Furniture,476
2022-01-06,Groceries,316
2022-01-06,Toys,162
2022-01-06,Furniture,37
2022-01-06,Electronics,63
2022-01-06,Groceries,101
2022-01-06,Electronics,24
2022-01-06,Toys,105
2022-01-06,Electronics,50
2022-01-06,Clothing,260
2022-01-06,Groceries,80
2022-01-06,Toys,257
2022-01-06,Clothing,167
2022-01-06,Furniture,166
2022-01-06,Clothing,49
2022-01-06,Electronics,26
2022-01-06,Clothing,73
2022-01-06,Furniture,220
2022-01-06,Furniture,51
2022-01-06,Furniture,26
2022-01-06,Furniture,49
2022-01-06,Toys,70
2022-01-06,Electronics,47
2022-01-06,Furniture,325
2022-01-06,Furniture,150
2022-01-06,Clothing,195
2022-01-06,Furniture,35
2022-01-06,Clothing,96
2022-01-06,Toys,14
2022-01-06,Toys,14
2022-01-06,Groceries,39
2022-01-06,Toys,162
2022-01-06,Toys,64
2022-01-06,Electronics,219
2022-01-06,Clothing,83
2022-01-06,Groceries,171
2022-01-06,Furniture,101
2022-01-06,Furniture,128
2022-01-06,Electronics,7
2022-01-06,Clothing,15
2022-01-06,Furniture,250
2022-01-06,Furniture,192
2022-01-06,Toys,149
2022-01-06,Electronics,192
2022-01-06,Furniture,7
2022-01-07,Clothing,429
2022-01-07,Furniture,23
2022-01-07,Clothing,92
2022-01-07,Furniture,307
2022-01-07,Groceries,20
2022-01-07,Clothing,115
2022-01-07,Furniture,63
2022-01-07,Furniture,107
2022-01-07,Clothing,64
2022-01-07,Electronics,32
2022-01-07,Electronics,242
2022-01-07,Electronics,100
2022-01-07,Groceries,118
2022-01-07,Toys,71
2022-01-07,Electronics,128
2022-01-07,Clothing,161
2022-01-07,Furniture,66
2022-01-07,Toys,87
2022-01-07,Toys,46
2022-01-07,Electronics,124
2022-01-07,Toys,150
2022-01-07,Groceries,114
2022-01-07,Electronics,72
2022-01-07,Electronics,115
2022-01-07,Furniture,73
2022-01-07,Electronics,154
2022-01-07,Electronics,211
2022-01-07,Groceries,117
2022-01-07,Groceries,116
2022-01-07,Clothing,53
2022-01-07,Toys,137
2022-01-07,Furniture,143
2022-01-07,Electronics,152
2022-01-07,Electronics,39
2022-01-07,Furniture,211
2022-01-07,Toys,46
2022-01-07,Groceries,177
2022-01-07,Furniture,67
2022-01-07,Groceries,122
2022-01-07,Groceries,86
2022-01-07,Clothing,39
2022-01-07,Furniture,145
2022-01-07,Clothing,4
2022-01-07,Furniture,8
2022-01-07,Toys,298
2022-01-07,Electronics,175
2022-01-07,Furniture,119
2022-01-07,Toys,68
2022-01-07,Furniture,24
2022-01-07,Clothing,102
2022-01-07,Electronics,29
2022-01-07,Groceries,174
2022-01-07,Groceries,59
2022-01-07,Groceries,48
2022-01-07,Toys,71
2022-01-07,Electronics,86
2022-01-07,Clothing,12
2022-01-07,Electronics,336
2022-01-07,Furniture,35
2022-01-07,Toys,13
2022-01-07,Groceries,126
2022-01-07,Toys,46
2022-01-07,Groceries,92
2022-01-07,Clothing,108
2022-01-07,Groceries,188
2022-01-07,Clothing,36
2022-01-07,Clothing,80
2022-01-07,Toys,227
2022-01-07,Clothing,186
2022-01-07,Toys,72
2022-01-07,Groceries,83
2022-01-07,Electronics,49
2022-01-07,Groceries,343
2022-01-07,Groceries,50
2022-01-07,Furniture,139
2022-01-07,Toys,20
2022-01-07,Furniture,70
2022-01-07,Furniture,4
2022-01-07,Clothing,139
2022-01-07,Toys,162
2022-01-07,Groceries,97
2022-01-07,Electronics,297
2022-01-07,Furniture,197
2022-01-07,Clothing,32
2022-01-07,Toys,131
2022-01-07,Electronics,284
2022-01-07,Toys,246
2022-01-07,Clothing,52
2022-01-07,Groceries,12
2022-01-07,Clothing,30
2022-01-07,Furniture,164
2022-01-07,Furniture,438
2022-01-07,Groceries,59
2022-01-07,Toys,88
2022-01-07,Electronics,211
2022-01-07,Electronics,161
2022-01-07,Furniture,111
2022-01-07,Groceries,186
2022-01-07,Furniture,33
2022-01-07,Furniture,182
2022-01-08,Furniture,172
2022-01-08,Electronics,14
2022-01-08,Groceries,217
2022-01-08,Toys,79
2022-01-08,Toys,134
2022-01-08,Groceries,33
2022-01-08,Furniture,2
2022-01-08,Groceries,6
2022-01-08,Electronics,64
2022-01-08,Electronics,123
2022-01-08,Toys,58
2022-01-08,Groceries,255
2022-01-08,Furniture,186
2022-01-08,Furniture,106
2022-01-08,Furniture,142
2022-01-08,Electronics,42
2022-01-08,Clothing,248
2022-01-08,Furniture,58
2022-01-08,Furniture,127
2022-01-08,Groceries,151
2022-01-08,Groceries,341
2022-01-08,Groceries,298
2022-01-08,Electronics,162
2022-01-08,Furniture,229
2022-01-08,Furniture,18
2022-01-08,Clothing,454
2022-01-08,Electronics,104
2022-01-08,Groceries,153
2022-01-08,Groceries,241
2022-01-08,Toys,23
2022-01-08,Electronics,7
2022-01-08,Clothing,13
2022-01-08,Furniture,91
2022-01-08,Clothing,25
2022-01-08,Toys,117
2022-01-08,Clothing,34
2022-01-08,Groceries,233
2022-01-08,Electronics,278
2022-01-08,Clothing,351
2022-01-08,Toys,285
2022-01-08,Toys,188
2022-01-08,Clothing,264
2022-01-08,Electronics,12
2022-01-08,Clothing,250
2022-01-08,Furniture,271
2022-01-08,Clothing,189
2022-01-08,Groceries,324
2022-01-08,Toys,107
2022-01-08,Furniture,50
2022-01-08,Electronics,261
2022-01-08,Groceries,214
2022-01-08,Toys,147
2022-01-08,Electronics,135
2022-01-08,Furniture,60
2022-01-08,Electronics,47
2022-01-08,Clothing,36
2022-01-08,Electronics,85
2022-01-08,Toys,61
2022-01-08,Toys,66
2022-01-08,Clothing,23
2022-01-08,Toys,25
2022-01-08,Groceries,148
2022-01-08,Electronics,170
2022-01-08,Furniture,256
2022-01-08,Electronics,331
2022-01-08,Furniture,145
2022-01-08,Toys,132
2022-01-08,Groceries,11
2022-01-08,Clothing,97
2022-01-08,Groceries,161
2022-01-08,Electronics,97
2022-01-08,Furniture,69
2022-01-08,Furniture,480
2022-01-08,Furniture,450
2022-01-08,Electronics,163
2022-01-08,Electronics,119
2022-01-08,Toys,39
2022-01-08,Groceries,41
2022-01-08,Groceries,96
2022-01-08,Groceries,59
2022-01-08,Toys,53
2022-01-08,Clothing,149
2022-01-08,Toys,208
2022-01-08,Electronics,61
2022-01-08,Furniture,223
2022-01-08,Toys,93
2022-01-08,Groceries,150
2022-01-08,Clothing,209
2022-01-08,Groceries,211
2022-01-08,Furniture,83
2022-01-08,Groceries,40
2022-01-08,Toys,8
2022-01-08,Groceries,241
2022-01-08,Groceries,8
2022-01-08,Groceries,230
2022-01-08,Clothing,89
2022-01-08,Clothing,116
2022-01-08,Furniture,125
2022-01-08,Toys,105
2022-01-08,Furniture,3
2022-01-09,Clothing,169
2022-01-09,Clothing,194
2022-01-09,Electronics,81
2022-01-09,Groceries,45
2022-01-09,Electronics,350
2022-01-09,Groceries,5
2022-01-09,Toys,153
2022-01-09,Clothing,9
2022-01-09,Toys,40
2022-01-09,Toys,343
2022-01-09,Groceries,106
2022-01-09,Clothing,100
2022-01-09,Toys,85
2022-01-09,Electronics,51
2022-01-09,Toys,342
2022-01-09,Electronics,98
2022-01-09,Electronics,418
2022-01-09,Clothing,316
2022-01-09,Groceries,284
2022-01-09,Toys,55
2022-01-09,Groceries,155
2022-01-09,Toys,29
2022-01-09,Electronics,50
2022-01-09,Electronics,50
2022-01-09,Clothing,237
2022-01-09,Toys,242
2022-01-09,Toys,40
2022-01-09,Electronics,45
2022-01-09,Electronics,252
2022-01-09,Electronics,222
2022-01-09,Clothing,334
2022-01-09,Electronics,45
2022-01-09,Groceries,71
2022-01-09,Furniture,270
2022-01-09,Toys,87
2022-01-09,Electronics,270
2022-01-09,Electronics,331
2022-01-09,Clothing,112
2022-01-09,Furniture,95
2022-01-09,Clothing,45
2022-01-09,Clothing,391
2022-01-09,Groceries,337
2022-01-09,Groceries,98
2022-01-09,Electronics,34
2022-01-09,Furniture,4
2022-01-09,Toys,65
2022-01-09,Clothing,21
2022-01-09,Electronics,137
2022-01-09,Electronics,50
2022-01-09,Furniture,178
2022-01-09,Furniture,214
2022-01-09,Groceries,259
2022-01-09,Groceries,116
2022-01-09,Electronics,198
2022-01-09,Electronics,67
2022-01-09,Clothing,55
2022-01-09,Clothing,312
2022-01-09,Groceries,169
2022-01-09,Furniture,141
2022-01-09,Electronics,225
2022-01-09,Clothing,253
2022-01-09,Electronics,393
2022-01-09,Toys,58
2022-01-09,Toys,250
2022-01-09,Electronics,117
2022-01-09,Toys,175
2022-01-09,Furniture,156
2022-01-09,Furniture,57
2022-01-09,Electronics,6
2022-01-09,Clothing,307
2022-01-09,Clothing,239
2022-01-09,Electronics,97
2022-01-09,Electronics,242
2022-01-09,Toys,3
2022-01-09,Toys,74
2022-01-09,Furniture,123
2022-01-09,Furniture,148
2022-01-09,Electronics,14
2022-01-09,Furniture,59
2022-01-09,Toys,245
2022-01-09,Toys,408
2022-01-09,Clothing,178
2022-01-09,Clothing,28
2022-01-09,Toys,72
2022-01-09,Clothing,151
2022-01-09,Electronics,384
2022-01-09,Toys,207
2022-01-09,Toys,85
2022-01-09,Furniture,101
2022-01-09,Clothing,338
2022-01-09,Groceries,152
2022-01-09,Clothing,253
2022-01-09,Toys,222
2022-01-09,Electronics,304
2022-01-09,Electronics,19
2022-01-09,Clothing,222
2022-01-09,Electronics,200
2022-01-09,Electronics,113
2022-01-09,Clothing,48
2022-01-09,Toys,98
2022-01-10,Clothing,323
2022-01-10,Toys,151
2022-01-10,Toys,59
2022-01-10,Clothing,88
2022-01-10,Groceries,38
2022-01-10,Toys,183
2022-01-10,Electronics,158
2022-01-10,Furniture,76
2022-01-10,Electronics,18
2022-01-10,Toys,138
2022-01-10,Groceries,42
2022-01-10,Groceries,16
2022-01-10,Clothing,54
2022-01-10,Clothing,284
2022-01-10,Clothing,381
2022-01-10,Clothing,80
2022-01-10,Clothing,84
2022-01-10,Furniture,8
2022-01-10,Clothing,65
2022-01-10,Electronics,221
2022-01-10,Groceries,36
2022-01-10,Clothing,113
2022-01-10,Furniture,269
2022-01-10,Toys,31
2022-01-10,Toys,229
2022-01-10,Toys,70
2022-01-10,Furniture,104
2022-01-10,Electronics,71
2022-01-10,Groceries,293
2022-01-10,Groceries,73
2022-01-10,Groceries,212
2022-01-10,Clothing,147
2022-01-10,Toys,345
2022-01-10,Electronics,300
2022-01-10,Toys,178
2022-01-10,Toys,94
2022-01-10,Furniture,22
2022-01-10,Furniture,335
2022-01-10,Groceries,259
2022-01-10,Toys,57
2022-01-10,Clothing,79
2022-01-10,Furniture,7
2022-01-10,Clothing,92
2022-01-10,Groceries,248
2022-01-10,Toys,89
2022-01-10,Clothing,120
2022-01-10,Furniture,216
2022-01-10,Furniture,21
2022-01-10,Furniture,11
2022-01-10,Electronics,36
2022-01-10,Clothing,110
2022-01-10,Clothing,201
2022-01-10,Furniture,40
2022-01-10,Groceries,178
2022-01-10,Toys,84
2022-01-10,Toys,87
2022-01-10,Electronics,18
2022-01-10,Electronics,369
2022-01-10,Clothing,170
2022-01-10,Clothing,192
2022-01-10,Clothing,236
2022-01-10,Groceries,94
2022-01-10,Toys,107
2022-01-10,Toys,27
2022-01-10,Groceries,259
2022-01-10,Toys,102
2022-01-10,Furniture,35
2022-01-10,Clothing,53
2022-01-10,Groceries,110
2022-01-10,Electronics,349
2022-01-10,Groceries,12
2022-01-10,Electronics,135
2022-01-10,Electronics,91
2022-01-10,Groceries,79
2022-01-10,Groceries,35
2022-01-10,Groceries,280
2022-01-10,Toys,176
2022-01-10,Furniture,67
2022-01-10,Electronics,209
2022-01-10,Electronics,73
2022-01-10,Electronics,215
2022-01-10,Furniture,23
2022-01-10,Clothing,211
2022-01-10,Electronics,28
2022-01-10,Furniture,40
2022-01-10,Electronics,112
2022-01-10,Clothing,112
2022-01-10,Furniture,140
2022-01-10,Furniture,320
2022-01-10,Groceries,46
2022-01-10,Groceries,177
2022-01-10,Furniture,235
2022-01-10,Furniture,266
2022-01-10,Groceries,103
2022-01-10,Furniture,300
2022-01-10,Electronics,154
2022-01-10,Groceries,176
2022-01-10,Toys,62
2022-01-10,Furniture,264
2022-01-10,Electronics,21
2022-01-11,Electronics,183
2022-01-11,Electronics,69
2022-01-11,Furniture,124
2022-01-11,Furniture,9
2022-01-11,Furniture,344
2022-01-11,Toys,263
2022-01-11,Groceries,259
2022-01-11,Toys,67
2022-01-11,Groceries,79
2022-01-11,Electronics,230
2022-01-11,Clothing,144
2022-01-11,Groceries,302
2022-01-11,Toys,3
2022-01-11,Toys,57
